PR URL,PR Merged Commit,PR Other Commits,Refactorings in Merged PR,Refactorings in Other PR
https://github.com/52North/WPS/pull/137,5fd6eb71cd766fbdacd40b66c2ad2f4736c41bd6,"[6fbdc1c4b14b482f275bf4b16fa7c46f8521b1fe, 37c500e3585ef2f8bdf7b4685fc4792dd450f58f, 3435c23dc9ce70e474fd6d580929d098f4e865de, 81ca7f77c0b8bcbfdd90a2eccadb891e1f46a31f, 090dbac98a6a31fd0ec013ba23791cb61ffdb415, 425a0a4df594a16e672c4b9c0af7d3a94d6951fe, 4348ce31e055e0184d1241a4320d199c6277cfb8, 897b9bb1aa228c5f41c604090ef1f02d6c4eba53, 93d42fab07654dc1f54ce7e141f4158d7f6ea773, 92db3781924991fcc5e7625c34c1b379a301abc5, 666712095af103080b7abddfce822b7e9570d2e2, 7b774d5051568e5e392a4107e34f4507217a167c, 8ecb1fb7a37813559fbfe8b35dea2e0cfdedad7a, c6aff98453ff3e8360bac9db35ba3a10b6bd4c47]",[],"[MOVE_ATTRIBUTE, EXTRACT_AND_MOVE_OPERATION, RENAME_PARAMETER, RENAME_VARIABLE, RENAME_PARAMETER, RENAME_PARAMETER, RENAME_PARAMETER, RENAME_PARAMETER, RENAME_ATTRIBUTE]"
https://github.com/52North/WPS/pull/169,38941f2561886c4b3754840c0f3b24e2f3afa149,"[dd4555b0c8e7200764419152c38139c633f0959a, 58dbbdfad7ea79f59e6999adfc38db338948dbe2, a1b267e395e704c9a9d4e4e000dd64d132cefb42, b54bcd8733f33ee8ff73fcd7cd13cc8fd2cb5d41, b51fbb9b0a12feef11bf65ae04c3fdde2dbeca4a, b0bb2fab04d0f3b6acf60bbcfa4d3229e4e80ddb, faf62a97d210cc07030381c191ae456898483473, c3204efdd00a19ac9814a77331c50ab53619ae39, e0cfba8baeb56c76d63803076d31c28bbf3a3cb6, dc1b0fdaafbac02ded3b3ae5d2f1f20b2c533fbd, b87ae796e492d63181ad1cae4bf802e421801e54, 786ce3a2518bd068a5c16cd78ad72a009d455a19, 141157f5c825b2e5db1549dd38e7b939ea339766, aa878a4b85162b92f5fad646ebd46e37c22ee530, ac00cba3948b38e6403c355b4cdd5a437f28cdf5, dfc3cc507b3470dd96fda79ea3b79d3e3b65442e, 7af304d672e843062576cb64e78833053a450ba5]",[],"[EXTRACT_OPERATION, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, RENAME_PACKAGE, MOVE_RENAME_CLASS, MOVE_RENAME_CLASS]"
https://github.com/52North/WPS/pull/73,c303396a5dd17bb09264d74d73294030e7d14d34,"[e768af32a87a421de50ca639d56f408638b6e2cc, ab1339b704e23d8349985f5751c6d2381d1fd3f8, f1e77ccff71033e075094abd58379f81c7e8936c, 170f69fac5830a8a2390ab2f07c8ea17b66f6379, 0e7a43c395592c8406b2d213c82841ac8fbefd4f, ba3ceadac628a5f0ff20ec33489eed15d8e8bc4b, 66395ba18bdc997969a4e326c9556f00f753a951, fa9646d0ad9eeebbb120b451f71d35742b86f56c, 7f34d1deedb13817d40d1658b03338bd9e4092b1, b3f98fd29ccdedf37943322814ab522834b13b73, 3e18bc313ffbb14e4ac040367186facc7c1121d5, e5f7c62608c0f27b23bf3ba18e457d85af24e3fe, 569e01ff7e7160af9a74e812a0fa34635759933e, a1ac0d3d628c43b2f67472d5a1d57ad22681aaed, ff0cb70511b52e3f104e97979120285c3cfc56ea]",[],"[RENAME_VARIABLE, REPLACE_VARIABLE_WITH_ATTRIBUTE, MOVE_SOURCE_FOLDER, MOVE_SOURCE_FOLDER, MOVE_SOURCE_FOLDER, RENAME_CLASS, RENAME_CLASS, RENAME_VARIABLE, RENAME_METHOD, RENAME_METHOD, RENAME_METHOD, INLINE_VARIABLE, RENAME_METHOD, EXTRACT_OPERATION, REPLACE_VARIABLE_WITH_ATTRIBUTE]"
https://github.com/BedwarsRel/BedwarsRel/pull/698,3e1f005e122bd586eb99f77d17785467ed27c0ae,"[41fc0d251110310239a8b046e343b93f8043e8ce, 21d2d3b2890a1081b7ca3e4fea38f18d791a7516, 7df6437feae91265711ccad2c252c6c54a24bc2d, 8762b9ce74c8e863f8c20cf329ddf6a86841a0b3, e766ac6f0d106ed1b8caf42db7e7e18ae45b3c20, 1e786a1a956d84dffd9b4f823008280fa423f904, b8938c6425fff5642e59a192cd09a31178e8a355, 337a926b427fe0c97bf69913ea2d4d5f98f02d39, b9db1ee0ce155e8403768377ab41d76bc3734b6e, adc5b210e6d2b2009a7639d1e27fb43f98382727, 5a55dea429a27e13cd02d3f0597b5ed42d393acc, fb45e90f892f3d56b564ca83fe0fce75cfbb20d2]",[EXTRACT_OPERATION],[]
https://github.com/Blazebit/blaze-persistence/pull/363,83d258b4a63aa8ff12a8e343c8993b27c928ee1d,[e0e2038bf42f3badd3b31bf46eb3e90172e71ef2],[],"[RENAME_CLASS, RENAME_VARIABLE, EXTRACT_VARIABLE, RENAME_PARAMETER]"
https://github.com/Blazebit/blaze-persistence/pull/483,83290581954bd50687fc8900f7844ca5752c16ec,[00ec4b87572e95bef08cf511a657e52972d070d8],"[RENAME_PACKAGE, MOVE_CLASS, RENAME_PACKAGE]",[]
https://github.com/Cognifide/bobcat/pull/315,e4254b7c337143a9e10b6a5822cf18ae4973546d,"[e36b91dfbc01029b3d64032702d61cecec106c62, ee1d50118748b41df3d2559197b6d045ae8ea689, 9098c7e17cf46cfcb5ff76ca0f379e45521f08f2, 539dd3f3b1c900731b746cc5596eac6cfbddb3bb, d8de60f44db3ffad401ff5b18b0bd60c9142f6ae]",[],"[REPLACE_ATTRIBUTE, PULL_UP_ATTRIBUTE, PULL_UP_OPERATION, PULL_UP_OPERATION, RENAME_METHOD, RENAME_ATTRIBUTE]"
https://github.com/Cognifide/bobcat/pull/35,0dba17047042ea7874445e5be69f4f026d2963f8,"[eb06e52c852bf52aa9a43145543b8d5ee25451b1, aa5f0586467fcb6aba8b4c8296371c85ccbd4a09, cf6c2b169fb3a53a7a249105f056068f99c7bfb8, eb9be5c7ffb214ce594bfca3e97d518c832dd278]",[],"[MOVE_CLASS, MOVE_CLASS, RENAME_VARIABLE, RENAME_VARIABLE, MOVE_ATTRIBUTE]"
https://github.com/DSpace/DSpace/pull/1024,e7d1f75b39c58e6e575ce4771152ac67842b38a5,"[021fba9d408dd350ee365c9549564722cd0b9224, dd838ca5f5ee9c438348e8885e27ed3122a7a47e, 2726e88a2db7ef21c24b35acc9011e2776c6ae6a, b5da81f9cb2ac4fa4e106078482437341c62c1e6, b870a25dc66a96b96da4ae40be8660337dc183e7, aca32d76ee0492c621fd1b328db7d1c4029fa643, bba5c5cc336e6d9a4871065d340eea8bb696e017, 05effea7ed8b3872d9bce2f28ee6749e74e2a6dc, 57eae5388941a9f96a44d85b49730c3b806f70fa, dd20b6a41a97b9a6e88e160166afc33afe182a50, 5d0fa8bc3dc47dfe61b6b6e9ecf39320d3c9323c]",[],"[RENAME_VARIABLE, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_RENAME_CLASS]"
https://github.com/DSpace/DSpace/pull/1027,5d97c7b82ae7e8ad9dfe1101de1d5384e64e0a35,[0883d138a4a526069566eaba0d5a64a3393c5f53],[],[RENAME_CLASS]
