ProjectName,Commit_ID,FileName,slopeRecentCBO,slopeRecentWMC,slopeRecentDIT,slopeRecentNOC,slopeRecentRFC,slopeRecentLCOM,slopeRecentNOM,slopeRecentNOPM,slopeRecentNOSM,slopeRecentNOF,slopeRecentNOPF,slopeRecentNOSF,slopeRecentNOSI,slopeRecentLOC,slopeRecentC3,slopeRecentHsLCOM,slopeRecentStructRead,slopeRecentSemantRead,CountFileRelatedToIssueFixFromCommitMsg,avgLinesImpactedInCommit,changePronenessInCommits,changePronenessInDays,impactedLinesInCurrentCommit,changeCounterInCommits,ageInCommits,ageInDays,cumulativeLinesImpacted,minGeneralExp,maxGeneralExp,medianGeneralExp,avgGeneralExp,minFileExp,maxFileExp,medianFileExp,avgFileExp,numAvoidDeeplyNestedIfStmts,numCouplingBtwObjects,numExcessiveImport,numNPathComplexity,numExcessiveMethodLength,numExcessiveParameterList,numExcessiveClassLength,numCyclomaticComplexity,numStdCyclomaticComplexity,numTooManyField,numNcssMethodCount,numNcssTypeCount,numNcssConstructorCount,numTooManyMethods,numIsGodClass,isGodDecor,isCDSBPDecor,isComplexDecor,isFuncDecDecor,isSpaghCodeDecor
jcodec_jcodec,31d194018c1113c39b83dfbb6e2bf755fea8682b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jcodec_jcodec,9ac9c87f7d1163a6e8e4e9d0b469f083bb82cf15,src.main.java.org.jcodec.containers.mp4.boxes.MP4ABox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31.0,1.0,0.0,31.0,1,1,0,31,1,1,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false
jcodec_jcodec,9ac9c87f7d1163a6e8e4e9d0b469f083bb82cf15,src.main.java.org.jcodec.common.dct.SlowDCT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,79.0,1.0,0.0,79.0,1,1,0,79,1,1,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false
jcodec_jcodec,9ac9c87f7d1163a6e8e4e9d0b469f083bb82cf15,src.test.java.org.jcodec.codecs.h264.TestMBlockDecoder16x16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,381.0,1.0,0.0,381.0,1,1,0,381,1,1,1.0,1.0,0,0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false
jcodec_jcodec,9ac9c87f7d1163a6e8e4e9d0b469f083bb82cf15,src.main.java.org.jcodec.codecs.h264.decode.BlockInterpolator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1093.0,1.0,0.0,1093.0,1,1,0,1093,1,1,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0,60,1,1,0,0,0,0,0,0,1,true,false,false,false,false
jcodec_jcodec,9ac9c87f7d1163a6e8e4e9d0b469f083bb82cf15,src.main.java.org.jcodec.codecs.h264.annexb.AnnexBDemuxer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,162.0,1.0,0.0,162.0,1,1,0,162,1,1,1.0,1.0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false
jcodec_jcodec,9ac9c87f7d1163a6e8e4e9d0b469f083bb82cf15,src.main.java.org.jcodec.common.io.VLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,134.0,1.0,0.0,134.0,1,1,0,134,1,1,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false
jcodec_jcodec,9ac9c87f7d1163a6e8e4e9d0b469f083bb82cf15,src.main.java.org.jcodec.codecs.h264.io.read.MBlockReader,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,219.0,1.0,0.0,219.0,1,1,0,219,1,1,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false,false,false,false,false
jcodec_jcodec,9ac9c87f7d1163a6e8e4e9d0b469f083bb82cf15,src.main.java.org.jcodec.containers.matroska.ebml.FloatTag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,65.0,1.0,0.0,65.0,1,1,0,65,1,1,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false
jcodec_jcodec,9ac9c87f7d1163a6e8e4e9d0b469f083bb82cf15,src.main.java.org.jcodec.common.io.AutoResource,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.0,1.0,0.0,14.0,1,1,0,14,1,1,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false
jcodec_jcodec,9ac9c87f7d1163a6e8e4e9d0b469f083bb82cf15,src.main.java.org.jcodec.codecs.common.biari.Context,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38.0,1.0,0.0,38.0,1,1,0,38,1,1,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false
jcodec_jcodec,9ac9c87f7d1163a6e8e4e9d0b469f083bb82cf15,src.main.java.org.jcodec.codecs.h264.decode.resilence.SimpleErrorResilence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,220.0,1.0,0.0,220.0,1,1,0,220,1,1,1.0,1.0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false
