ProjectName,Commit_ID,FileName,slopeRecentCBO,slopeRecentWMC,slopeRecentDIT,slopeRecentNOC,slopeRecentRFC,slopeRecentLCOM,slopeRecentNOM,slopeRecentNOPM,slopeRecentNOSM,slopeRecentNOF,slopeRecentNOPF,slopeRecentNOSF,slopeRecentNOSI,slopeRecentLOC,slopeRecentC3,slopeRecentHsLCOM,slopeRecentStructRead,slopeRecentSemantRead,CountFileRelatedToIssueFixFromCommitMsg,avgLinesImpactedInCommit,changePronenessInCommits,changePronenessInDays,impactedLinesInCurrentCommit,changeCounterInCommits,ageInCommits,ageInDays,cumulativeLinesImpacted,minGeneralExp,maxGeneralExp,medianGeneralExp,avgGeneralExp,minFileExp,maxFileExp,medianFileExp,avgFileExp,numAvoidDeeplyNestedIfStmts,numCouplingBtwObjects,numExcessiveImport,numNPathComplexity,numExcessiveMethodLength,numExcessiveParameterList,numExcessiveClassLength,numCyclomaticComplexity,numStdCyclomaticComplexity,numTooManyField,numNcssMethodCount,numNcssTypeCount,numNcssConstructorCount,numTooManyMethods,numIsGodClass,isGodDecor,isCDSBPDecor,isComplexDecor,isFuncDecDecor,isSpaghCodeDecor
square_javapoet,68abe864e2ab689c64f09b0d3bde6058c81abfd4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
square_javapoet,3f224dd2a22b200a5c20adf4e3d3751fb51a532b,src.main.java.com.squareup.protoss.schema.JavaWriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,521.0,1.0,0.0,521.0,1,1,0,521,1,1,1.0,1.0,0,0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,false,false,false,false,false
square_javapoet,1158267d1bc81e6430da873e26406fccd6ac1dc1,src.main.java.com.squareup.protoss.schema.JavaWriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,265.0,1.0,0.0,9.0,2,2,0,530,0,1,0.5,0.5,0,0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,false,false,false,false,false
square_javapoet,4d8567ca0f96ad746c42291da84240b27e8f0110,src.main.java.com.squareup.protoss.schema.JavaWriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,177.33,1.0,0.0,2.0,3,3,0,532,0,1,1.0,0.67,0,0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,false,false,false,false,false
square_javapoet,f591e73cb9516a76ee3a0dae7d4b31f2178e2e58,src.main.java.com.squareup.protoss.schema.JavaWriter,0.0,-1.0,0.0,0.0,0.0,5.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-0.01,0,135.0,1.0,0.0,8.0,4,4,0,540,0,2,1.0,1.0,0,1,0.0,0.33,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,false,false,false,false,false
square_javapoet,ec4abe321f9aa1dd5453bae85aec2e619a81f0dc,src.main.java.com.squareup.protoss.schema.JavaWriter,0.0,-0.5,0.0,0.0,0.0,2.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0,113.6,1.0,0.0,28.0,5,5,0,568,0,3,1.0,1.4,0,2,0.5,0.75,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,false,false,false,false,false
square_javapoet,74f970d661c6148024a9ef31d6362854cc8e2271,src.main.java.com.squareup.protoss.schema.JavaWriter,0.0,-0.9,0.0,0.0,-0.9,1.5,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0,-4.2,0.0,0.0,0.0,0.0,0,97.67,1.0,1.0,18.0,6,6,6,586,0,3,1.0,1.17,0,3,1.0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,false,false,false,false,false
square_javapoet,9b4d2d842e152ffb49d42c450be053d8ada4984e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
square_javapoet,d5fad966ac96d672e827ddd174537203a080d0fa,src.main.java.com.squareup.protoss.schema.JavaWriter,0.0,-2.54,0.0,0.0,-1.71,-6.12,-0.88,-0.56,-0.14,0.0,0.0,0.0,-0.76,-5.15,0.0,0.0,0.0,0.0,0,21.8,2.4,10.2,109.0,5,12,51,109,0,5,1.5,1.9,0,3,1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,false,false,false,false,false
square_javapoet,d5fad966ac96d672e827ddd174537203a080d0fa,src.test.java.com.example.Binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.0,1.67,0.0,1.0,3,5,0,6,1,5,2.0,2.67,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false
square_javapoet,d5fad966ac96d672e827ddd174537203a080d0fa,src.test.java.com.squareup.protoss.schema.JavaWriterTest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0,5.2,1.0,0.0,26.0,5,5,0,26,1,5,3.0,3.0,0,2,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,false,false,false,false,false
