url,#blank_java,#comments_java,SLOC,LOC,#Classes,#Contributors,#PRs_Closed,#Commits
https://github.com/pentaho/big-data-plugin,17952,24609,91860,134421,792,79,1725,2849
https://github.com/DSpace/DSpace,42809,91811,191230,325850,2033,100,2246,10991
https://github.com/jdbi/jdbi,10457,18220,44255,72932,820,100,871,4049
https://github.com/zalando/nakadi,7543,962,39704,48209,513,42,898,4837
https://github.com/samtools/htsjdk,20720,42847,98667,162234,922,100,892,2680
https://github.com/caelum/vraptor4,7857,11410,26725,45992,551,51,788,3761
https://github.com/novoda/download-manager,2452,591,9207,12250,195,27,355,2799
https://github.com/veraPDF/veraPDF-library,6074,18863,29090,54027,343,18,710,2790
https://github.com/datacleaner/DataCleaner,30265,51139,134358,215762,1818,29,862,6677
https://github.com/commercetools/commercetools-sunrise-java,7876,1688,30498,40062,947,15,250,1996
https://github.com/cbeust/testng,18787,9516,84671,112974,1850,100,847,4656
https://github.com/zendesk/maxwell,3988,631,17106,21725,214,80,628,2841
https://github.com/spring-projects/spring-integration,58727,93027,251474,403228,2937,100,2787,9809
https://github.com/osmdroid/osmdroid,10815,14100,46741,71656,523,51,286,2921
https://github.com/dropwizard/dropwizard,11977,8269,54095,74341,921,100,1693,5019
https://github.com/TeamAmaze/AmazeFileManager,6933,6680,35169,48782,271,99,719,3711
https://github.com/unclebob/fitnesse,16588,2837,79334,98759,1132,100,569,5733
https://github.com/hopshadoop/hopsworks,17216,24612,92023,133851,773,22,769,4822
https://github.com/square/retrofit,3652,4787,20407,28846,241,99,938,1750
https://github.com/minio/minio-java,2680,6673,10196,19549,128,39,546,947
https://github.com/locationtech/geowave,30372,34861,194889,260122,2041,62,1019,1976
https://github.com/docker-java/docker-java,11369,8031,37509,56909,668,99,577,1903
https://github.com/spotify/docker-client,5607,8142,21101,34850,232,97,692,1853
https://github.com/Netflix/archaius,2014,4885,9163,16062,126,33,355,634
https://github.com/MegaMek/mekhq,22494,23298,146335,192127,609,36,464,3880
https://github.com/apache/struts,40882,86896,160500,288278,1982,42,354,5666
https://github.com/zerocracy/farm,4221,22771,37057,64049,638,22,504,3953
https://github.com/conveyal/r5,5866,9504,24572,39942,254,16,135,2956
https://github.com/bonitasoft/bonita-engine,66743,111565,264220,442528,4517,36,269,11992
https://github.com/openrocket/openrocket,30087,25935,106054,162076,1060,28,326,2386
https://github.com/ForestryMC/Binnie,11311,948,74238,86497,1226,20,232,711
https://github.com/xbmc/Kore,6832,11168,36106,54106,236,73,362,764
https://github.com/SonarSource/sonar-php,10685,22231,45047,77963,1015,43,484,1942
https://github.com/domoticz/domoticz-android,7631,7944,43608,59183,310,13,159,1845
https://github.com/simpligility/android-maven-plugin,11781,21120,53218,86119,626,99,503,2749
https://github.com/jenkinsci/acceptance-test-harness,7397,11429,31354,50180,570,85,510,4675
https://github.com/GwtMaterialDesign/gwt-material,6596,17450,25517,49563,541,29,195,1963
https://github.com/temenostech/IRIS,17984,16047,75059,109090,828,45,629,2804
https://github.com/Netflix/hollow,17490,20465,68304,106259,778,31,302,900
https://github.com/jbake-org/jbake,2204,1429,8349,11982,119,43,245,931
https://github.com/halestudio/hale,58913,157622,211988,428523,3481,18,453,8998
https://github.com/cqframework/clinical_quality_language,4514,4715,22247,31476,180,20,199,1794
https://github.com/apache/airavata,120723,63941,724964,909628,1062,44,195,8611
https://github.com/google/error-prone,22357,44355,163180,229892,1825,100,370,3856
https://github.com/citrusframework/citrus,41628,77373,144319,263320,2372,27,127,3912
https://github.com/apache/usergrid,75950,65697,176356,318003,2097,75,588,10950
https://github.com/jitsi/jitsi,67019,206983,307918,581920,1963,53,207,12887
https://github.com/ratpack/ratpack,11161,38077,41734,90972,827,100,450,5825
https://github.com/ccrama/Slide,12358,8052,78956,99366,352,71,635,3777
https://github.com/52North/WPS,9991,17393,39610,66994,385,16,163,1856
https://github.com/linkedin/pygradle,1364,2720,5212,9296,117,26,194,765
https://github.com/Direwolf20-MC/BuildingGadgets,4126,3174,20150,27450,287,20,102,1441
https://github.com/liquibase/liquibase,18638,17057,86641,122336,1128,100,831,7367
https://github.com/ReactiveX/RxNetty,7387,12173,28872,48432,329,29,277,927
https://github.com/concordion/concordion,3729,1075,13422,18226,477,13,122,778
https://github.com/openMF/android-client,17155,7075,64519,88749,654,69,556,883
https://github.com/SlimeKnights/TinkersConstruct,11719,5072,49385,66176,643,100,833,5693
https://github.com/square/javapoet,1155,1111,8749,11015,37,69,402,791
https://github.com/adjust/android_sdk,4316,2526,16454,23296,141,30,200,1781
https://github.com/SleepyTrousers/EnderIO,32148,7904,147716,187768,1726,98,809,7851
https://github.com/Progether/JAdventure,760,226,4937,5923,64,24,140,747
https://github.com/Findwise/Hydra,5319,1757,22203,29279,268,9,230,862
https://github.com/Rajawali/Rajawali,9563,14091,45051,68705,410,53,425,1800
https://github.com/Innoxia/liliths-throne-public,57869,16203,343278,417350,735,57,388,2004
https://github.com/apache/nutch,12237,24046,58961,95244,611,38,424,2919
https://github.com/kiegroup/optaplanner,27779,39844,129764,197387,1859,88,517,6791
https://github.com/confluentinc/kafka-connect-elasticsearch,824,868,4817,6509,37,35,147,858
https://github.com/openMF/mifos-mobile,4963,2877,19795,27635,256,60,594,653
https://github.com/phonegap/phonegap-plugin-push,240,146,1544,1930,7,100,264,933
https://github.com/Netflix/zuul,4128,6764,18180,29072,264,38,195,720
https://github.com/brettwooldridge/HikariCP,2700,3538,12960,19198,98,93,256,2681
https://github.com/jvm-profiling-tools/honest-profiler,4058,7738,17543,29339,247,24,100,710
https://github.com/OneBusAway/onebusaway-application-modules,40164,46699,144795,231658,1952,26,86,3238
https://github.com/guardianproject/haven,1551,905,5297,7753,41,39,134,850
https://github.com/jdemetra/jdemetra-app,14315,15421,79432,109168,845,7,227,695
https://github.com/martykan/forecastie,657,89,3481,4227,31,52,147,633
https://github.com/owlcs/owlapi,23770,68756,157222,249748,1849,20,148,2684
https://github.com/java-native-access/jna,19847,96639,81789,198275,532,100,558,3692
https://github.com/SonarSource/sonar-python,3212,6521,14508,24241,319,32,255,773
https://github.com/craftercms/engine,3861,6321,14045,24227,253,10,290,795
https://github.com/spring-projects/spring-kafka,6134,11733,28098,45965,284,73,566,779
https://github.com/jenkinsci/warnings-plugin,2826,4919,12353,20098,205,100,147,3933
https://github.com/spring-projects/spring-xd,25543,46207,94140,165890,1546,41,1801,2768
https://github.com/jenkinsci/promoted-builds-plugin,1423,1870,6619,9912,80,53,126,798
https://github.com/k0shk0sh/FastHub,9348,2420,47699,59467,598,93,338,1802
https://github.com/jenkinsci/git-client-plugin,3218,5187,16534,24939,89,77,432,2022
https://github.com/eclipse/leshan,6240,13167,28862,48269,362,25,362,957
https://github.com/spring-projects/spring-statemachine,12018,21283,61547,94848,665,27,220,722
https://github.com/Blazebit/blaze-persistence,47592,80933,211079,339604,2960,8,146,1641
https://github.com/loklak/loklak_server,6006,11498,33375,50879,249,87,805,2749
https://github.com/ta4j/ta4j,4902,16230,21529,42661,462,43,193,798
https://github.com/ObeoNetwork/M2Doc,6960,26823,30671,64454,313,12,110,847
https://github.com/soabase/exhibitor,2669,3616,16157,22442,188,33,141,813
https://github.com/wocommunity/wonder,63509,106485,307105,477099,3473,65,790,13850
https://github.com/flyingsaucerproject/flyingsaucer,12525,26295,59784,98604,467,61,138,2801
https://github.com/antlr/intellij-plugin-v4,1457,896,8485,10838,104,15,107,735
https://github.com/zhcet-amu/zhcet-web,3384,612,13571,17567,341,8,223,735
https://github.com/google/sagetv,24075,61774,267418,353267,806,29,202,831
https://github.com/apache/metamodel,13169,24376,60806,98351,809,30,220,781
https://github.com/spring-projects/spring-amqp,12108,19867,54974,86949,466,68,892,1686
https://github.com/yandex/clickhouse-jdbc,2855,684,14002,17541,91,66,200,680
https://github.com/MrCrayfish/MrCrayfishFurnitureMod,1366,421,11186,12973,110,44,108,728
https://github.com/aaberg/sql2o,2348,1594,8976,12918,185,21,95,648
https://github.com/connectbot/connectbot,3463,4908,18288,26659,88,48,305,1761
https://github.com/hortonworks/registry,8453,15115,36980,60548,531,36,287,886
https://github.com/Javacord/Javacord,6654,20228,25198,52080,568,27,339,1861
https://github.com/dkpro/dkpro-core,20207,36937,104914,162058,1067,48,158,4967
https://github.com/opendatakit/aggregate,8466,14497,45542,68505,486,19,164,2820
https://github.com/jenkinsci/docker-plugin,2266,1490,9956,13712,87,66,250,884
https://github.com/SCADA-LTS/Scada-LTS,26160,28806,112260,167226,1107,15,511,1568
https://github.com/slapperwan/gh4a,5323,1623,31410,38356,224,23,184,2649
https://github.com/Cognifide/bobcat,3466,10394,12044,25904,369,15,175,933
